country,code,year,mental_health_&_addiction (%)
Afghanistan,AFG,1990,17.72363089714286
Albania,ALB,1990,10.992243992499999
Algeria,DZA,1990,14.621204067500003
American Samoa,ASM,1990,10.859056068214286
Andorra,AND,1990,14.726202646785712
Angola,AGO,1990,12.466010143571427
Antigua and Barbuda,ATG,1990,13.190547743928567
Argentina,ARG,1990,15.63982278035714
Armenia,ARM,1990,10.709191132142854
Australia,AUS,1990,18.43670252964286
Austria,AUT,1990,14.50897931142857
Azerbaijan,AZE,1990,10.491634735
Bahamas,BHS,1990,13.343267379999999
Bahrain,BHR,1990,14.435392051785712
Bangladesh,BGD,1990,12.932294627142861
Barbados,BRB,1990,13.526175949285712
Belarus,BLR,1990,12.191510862857143
Belgium,BEL,1990,14.86908357964286
Belize,BLZ,1990,13.371829181071424
Benin,BEN,1990,11.801099407142857
Bermuda,BMU,1990,13.819133862500005
Bhutan,BTN,1990,12.059138013928571
Bolivia,BOL,1990,12.848657638214288
Bosnia and Herzegovina,BIH,1990,11.300039006428573
Botswana,BWA,1990,12.523007384285716
Brazil,BRA,1990,14.801479494999999
Brunei,BRN,1990,11.40910165107143
Bulgaria,BGR,1990,11.382504305
Burkina Faso,BFA,1990,11.884507293214286
Burundi,BDI,1990,13.224842032500003
Cambodia,KHM,1990,12.498319784285714
Cameroon,CMR,1990,11.753134929642858
Canada,CAN,1990,15.367388142857141
Cape Verde,CPV,1990,12.255642448571427
Central African Republic,CAF,1990,12.698240309642857
Chad,TCD,1990,12.171571321785711
Chile,CHL,1990,16.12199754178571
China,CHN,1990,11.558679284642855
Colombia,COL,1990,10.146275927499998
Comoros,COM,1990,12.249676721428573
Congo,COG,1990,12.404488681071431
Costa Rica,CRI,1990,10.912142371071429
Cote d'Ivoire,CIV,1990,11.40699706535714
Croatia,HRV,1990,11.611139075714288
Cuba,CUB,1990,14.4008085875
Cyprus,CYP,1990,14.237494669285715
Czechia,CZE,1990,11.451271684285713
Democratic Republic of Congo,COD,1990,12.612466284999998
Denmark,DNK,1990,14.506960214285714
Djibouti,DJI,1990,12.474420063928571
Dominica,DMA,1990,13.229380423214286
Dominican Republic,DOM,1990,13.522538995714285
Ecuador,ECU,1990,12.693787958928572
Egypt,EGY,1990,14.788683511071426
El Salvador,SLV,1990,11.026395078928573
Equatorial Guinea,GNQ,1990,12.513500055357143
Eritrea,ERI,1990,12.965551785000002
Estonia,EST,1990,12.406590582142856
Eswatini,SWZ,1990,12.363487280000001
Ethiopia,ETH,1990,13.322761297499998
Fiji,FJI,1990,11.097768191785715
Finland,FIN,1990,15.219846668214284
France,FRA,1990,16.566316808928573
Gabon,GAB,1990,12.345961572142857
Gambia,GMB,1990,12.277831919285715
Georgia,GEO,1990,10.815531763214286
Germany,DEU,1990,15.22987878464286
Ghana,GHA,1990,11.513969718214284
Greece,GRC,1990,15.509885998928576
Greenland,GRL,1990,17.7461209725
Grenada,GRD,1990,13.369772453214285
Guam,GUM,1990,11.368494856785714
Guatemala,GTM,1990,11.270484564285715
Guinea,GIN,1990,11.612166522142854
Guinea-Bissau,GNB,1990,11.67912333214286
Guyana,GUY,1990,14.441260262499998
Haiti,HTI,1990,13.511816197142862
Honduras,HND,1990,10.619797556428574
Hungary,HUN,1990,11.556911401785715
Iceland,ISL,1990,14.276135547857141
India,IND,1990,14.974238958928572
Indonesia,IDN,1990,11.065371296785713
Iran,IRN,1990,17.811353159642856
Iraq,IRQ,1990,13.893119207500002
Ireland,IRL,1990,15.560846092857144
Israel,ISR,1990,12.969908984285714
Italy,ITA,1990,14.803655433214287
Jamaica,JAM,1990,13.198590381428573
Japan,JPN,1990,12.111718168571429
Jordan,JOR,1990,14.68569788392857
Kazakhstan,KAZ,1990,11.248638884642856
Kenya,KEN,1990,12.426780457142854
Kiribati,KIR,1990,11.411991336428573
Kuwait,KWT,1990,13.990352281785718
Kyrgyzstan,KGZ,1990,11.116504786785713
Laos,LAO,1990,12.715429002142857
Latvia,LVA,1990,11.820477696785714
Lebanon,LBN,1990,15.997784643928572
Lesotho,LSO,1990,13.958054529642856
Liberia,LBR,1990,12.062518755714285
Libya,LBY,1990,14.339498546785716
Lithuania,LTU,1990,12.284557251071424
Luxembourg,LUX,1990,14.788946845714284
Madagascar,MDG,1990,12.676658766071426
Malawi,MWI,1990,12.333244866785716
Malaysia,MYS,1990,12.145154831428572
Maldives,MDV,1990,11.707938129642853
Mali,MLI,1990,11.2606088125
Malta,MLT,1990,14.378736480714286
Marshall Islands,MHL,1990,11.249088168928568
Mauritania,MRT,1990,11.318546924285714
Mauritius,MUS,1990,11.615508413928572
Mexico,MEX,1990,10.697611051428572
Micronesia (country),FSM,1990,11.280370488214285
Moldova,MDA,1990,11.682088191428571
Mongolia,MNG,1990,11.314704872857146
Montenegro,MNE,1990,11.257425364285712
Morocco,MAR,1990,16.543888207857144
Mozambique,MOZ,1990,12.901824987500001
Myanmar,MMR,1990,11.373787466428569
Namibia,NAM,1990,12.071338442142856
Nepal,NPL,1990,13.269478750000003
Netherlands,NLD,1990,16.202612960714283
New Zealand,NZL,1990,18.819917558214282
Nicaragua,NIC,1990,10.907533208928573
Niger,NER,1990,12.037677552857138
Nigeria,NGA,1990,12.121898460357144
