country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Afghanistan,0,0,0,0
Albania,89,132,54,4.9
Algeria,25,0,14,0.7
Andorra,245,138,312,12.3
Angola,217,57,45,5.7
Antigua & Barbuda,102,128,45,4.9
Argentina,193,25,221,7.8
Armenia,21,179,11,3.7
Australia,261,72,212,9.7
Austria,279,75,191,9.7
Azerbaijan,21,46,5,1.3
Bahamas,122,176,49,6.2
Bahrain,42,63,7,2
Bangladesh,0,0,0,0
Barbados,143,173,36,6.2
Belarus,142,373,42,9.9
Belgium,295,84,212,10.5
Belize,263,114,8,6.8
Benin,34,4,13,0.9
Bhutan,23,0,0,0.4
Bolivia,167,41,8,3.8
Bosnia-Herzegovina,76,173,8,4.6
Botswana,173,35,35,4.3
Brazil,245,145,16,7.2
Brunei,31,2,1,0.6
Bulgaria,231,252,94,10.2
Burkina Faso,25,7,7,0.7
Burundi,88,0,0,1.6
Cabo Verde,144,56,16,3.8
Cambodia,57,65,1,2.2
Cameroon,147,1,4,2.7
Canada,240,122,100,8.2
Central African Republic,17,2,1,0.4
Chad,15,1,1,0.3
Chile,130,124,172,7.6
China,79,192,8,5
Colombia,159,76,3,4.2
Comoros,1,3,1,0.1
Congo,76,1,9,1.5
Cook Islands,0,254,74,5.8
Costa Rica,149,87,11,4.4
Cote d'Ivoire,37,1,7,0.8
Croatia,230,87,254,10.1
Cuba,93,137,5,4.2
Cyprus,192,154,113,8.1
Czech Republic,361,170,134,11.8
Denmark,224,81,278,10.3
Djibouti,15,44,3,1.1
Dominica,52,286,26,6.5
Dominican Republic,193,147,9,6.2
DR Congo,32,3,1,0.6
Ecuador,162,74,3,4.2
Egypt,6,4,1,0.2
El Salvador,52,69,2,2.2
Equatorial Guinea,92,0,233,5.8
Eritrea,18,0,0,0.3
Estonia,224,194,59,8.5
Ethiopia,20,3,0,0.4
Fiji,77,35,1,2
Finland,263,133,97,8.7
France,127,151,370,11.5
Gabon,347,98,59,8.9
Gambia,8,0,1,0.2
Georgia,52,100,149,5.3
Germany,346,117,175,11.3
Ghana,31,3,10,0.8
Greece,133,112,218,8.2
Grenada,199,438,28,11.8
Guatemala,53,69,2,2.2
Guinea,9,0,2,0.2
Guinea-Bissau,28,31,21,1.4
Guyana,93,302,1,7
Haiti,1,326,1,5.8
Honduras,69,98,2,3
Hungary,234,215,185,11.2
Iceland,233,61,78,6.6
India,9,114,0,2.2
Indonesia,5,1,0,0.1
Iran,0,0,0,0
Iraq,9,3,0,0.2
Ireland,313,118,165,10.6
Israel,63,69,9,2.5
Italy,85,42,237,6.5
Jamaica,82,97,9,3.3
Japan,77,202,16,5.2
Jordan,6,21,1,0.5
Kazakhstan,124,246,12,6.8
Kenya,58,22,2,1.5
Kiribati,21,34,1,1
Kuwait,0,0,0,0
Kyrgyzstan,31,97,6,2.4
Laos,62,0,123,3.3
Latvia,281,216,62,9.9
Lebanon,20,55,31,1.9
Lesotho,82,29,0,2
Liberia,19,152,2,3.1
Libya,0,0,0,0
Lithuania,343,244,56,11.4
Luxembourg,236,133,271,11.4
Macedonia,106,27,86,3.9
Madagascar,26,15,4,0.8
Malawi,8,11,1,0.4
Malaysia,13,4,0,0.3
Maldives,0,0,0,0
Mali,5,1,1,0.1
Malta,149,100,120,6.5
Marshall Islands,0,0,0,0
Mauritania,0,0,0,0
Mauritius,98,31,18,2.6
Mexico,238,68,5,5.5
Micronesia,62,50,18,2.3
Moldova,109,226,18,6.3
Monaco,0,0,0,0
Mongolia,77,189,8,4.9
Montenegro,31,114,128,4.8
Morocco,12,6,10,0.5
Mozambique,47,18,5,1.2
