,Continent,Country Code,Country,Alcohol Consumption Per Capita (Liters),Climate,Region,Happiness Score,Life Expectancy,GDP per capita,Mental Health Disorders (%),Wine Consumption per capita (Liters),GDP Group
0,Asia,AFG,Afghanistan,0.2,arid to semiarid; cold winters and hot summers,South Asia,2.566900015,52.59000015,7.462860583999999,17.55346296,0.0,GDP up to 8
1,Europe,ALB,Albania,7.5,"mild temperate; cool, cloudy, wet winters; hot, clear, dry summers; interior is cooler and wetter",Central and Eastern Europe,4.882699966000001,68.70813751,9.417930603,10.98761042,1.14,GDP up to 10
2,Africa,DZA,Algeria,0.9,"arid to semiarid; mild, wet winters with hot, dry summers along coast; drier with cold winters and hot summers on high plateau; sirocco is a hot, dust/sand-laden wind especially common in summer",Middle East and North Africa,5.005099773,65.90517426,9.537964821000001,14.70038757,0.22,GDP up to 10
6,Europe,AZE,Azerbaijan,0.8,"dry, semiarid steppe",Commonwealth of Independent States,5.164800167,65.50839996,9.687726974,10.49581501,0.23,GDP up to 10
7,South America,ARG,Argentina,9.8,mostly temperate; arid in southeast; subantarctic in southwest,Latin America and Caribbean,5.974699974,68.80380249,9.810955048,15.49123492,3.22,GDP up to 10
8,Oceania,AUS,Australia,10.6,generally arid to semiarid; temperate in south and east; tropical in north,North America and ANZ,7.222799778,73.60453796,10.72059631,18.077892,3.64,GDP up to 11
9,Europe,AUT,Austria,11.6,"temperate; continental, cloudy; cold winters with frequent rain and some snow in lowlands and snow in mountains; moderate summers with occasional showers",Western Europe,7.294199944,73.00250244,10.7428236,14.64811057,4.37,GDP up to 11
11,Asia,BHR,Bahrain,1.9,"arid; mild, pleasant winters; very hot, humid summers",Middle East and North Africa,6.227300167,68.5,10.67638016,14.57364164,0.13,GDP up to 11
12,Asia,BGD,Bangladesh,0.0,"tropical; mild winter (October to March); hot, humid summer (March to June); humid, warm rainy monsoon (June to October)",South Asia,4.832799911,64.50306702,8.287063599,13.52747593,0.0,GDP up to 9
13,Europe,ARM,Armenia,5.5,"highland continental, hot summers, cold winters",Commonwealth of Independent States,4.676799774,66.75065613,9.100476265,10.64428436,0.13,GDP up to 10
15,Europe,BEL,Belgium,12.1,"temperate; mild winters, cool summers; rainy, humid, cloudy",Western Europe,6.863500117999999,72.00164795,10.6736393,14.65897462,4.53,GDP up to 11
17,South America,BOL,Bolivia,4.8,varies with altitude; humid and tropical to cold and semiarid,Latin America and Caribbean,5.747499942999999,63.6004715,8.851115227000001,12.85289814,0.03,GDP up to 9
